dist_id,dist_label,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,dist_mean,dist_var,dist_skew,mean_tortuosity,std_tortuosity,mean_resistance,std_resistance,mean_fractal_dim,std_fractal_dim,mean_lateral_dev,std_lateral_dev,mean_zero_cost_ratio,n_runs,grid_H,grid_W
149,exponential_lam=+0.60,0.00112,0.002041,0.003718,0.006775,0.012345,0.022494,0.040987,0.074683,0.13608,0.247955,0.451803,8.7986,2.5309,-1.8463,1.0325,0.0296,230.35,4.6319,0.9703,0.0301,0.89,0.8193,0.0084,200,30,60
150,exponential_lam=+0.70,0.000459,0.000925,0.001862,0.00375,0.007552,0.015209,0.030627,0.061674,0.124197,0.250102,0.503643,9.0185,1.9046,-1.9864,1.0162,0.0222,240.86,4.4145,0.9637,0.026,0.46,0.6248,0.0052,200,30,60
151,exponential_lam=+0.80,0.000185,0.000411,0.000915,0.002037,0.004533,0.010087,0.02245,0.049963,0.111195,0.24747,0.550754,9.1857,1.4635,-2.0893,1.0098,0.0163,248.44,4.1705,0.9626,0.0203,0.295,0.4891,0.0019,200,30,60
152,fixed_mean_f=0.00,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,5.0,10.0,0.0,1.354,0.1188,71.34,6.2698,1.0053,0.0792,5.69,2.6053,0.3274,200,30,60
153,fixed_mean_f=0.05,0.086364,0.086364,0.086364,0.086364,0.086364,0.136364,0.086364,0.086364,0.086364,0.086364,0.086364,5.0,9.5,0.0,1.3412,0.105,74.935,6.0675,1.012,0.0812,5.405,2.6677,0.313,200,30,60
154,fixed_mean_f=0.10,0.081818,0.081818,0.081818,0.081818,0.081818,0.181818,0.081818,0.081818,0.081818,0.081818,0.081818,5.0,9.0,0.0,1.3245,0.1045,77.89,5.2761,0.9974,0.0864,5.16,2.2292,0.2999,200,30,60
155,fixed_mean_f=0.15,0.077273,0.077273,0.077273,0.077273,0.077273,0.227273,0.077273,0.077273,0.077273,0.077273,0.077273,5.0,8.5,-0.0,1.3078,0.0893,80.33,5.6365,0.9983,0.0829,5.15,1.9842,0.2939,200,30,60
156,fixed_mean_f=0.20,0.072727,0.072727,0.072727,0.072727,0.072727,0.272727,0.072727,0.072727,0.072727,0.072727,0.072727,5.0,8.0,0.0,1.2858,0.0915,82.775,5.3636,1.0092,0.076,4.755,2.0435,0.2869,200,30,60
157,fixed_mean_f=0.25,0.068182,0.068182,0.068182,0.068182,0.068182,0.318182,0.068182,0.068182,0.068182,0.068182,0.068182,5.0,7.5,0.0,1.2797,0.0958,86.75,5.257,1.0013,0.079,4.73,2.2298,0.2673,200,30,60
158,fixed_mean_f=0.30,0.063636,0.063636,0.063636,0.063636,0.063636,0.363636,0.063636,0.063636,0.063636,0.063636,0.063636,5.0,7.0,-0.0,1.2567,0.0974,89.205,5.4148,0.9968,0.0774,4.485,2.1849,0.2622,200,30,60
159,fixed_mean_f=0.35,0.059091,0.059091,0.059091,0.059091,0.059091,0.409091,0.059091,0.059091,0.059091,0.059091,0.059091,5.0,6.5,0.0,1.233,0.0834,92.515,5.5192,0.9945,0.0728,4.215,1.859,0.2427,200,30,60
160,fixed_mean_f=0.40,0.054545,0.054545,0.054545,0.054545,0.054545,0.454545,0.054545,0.054545,0.054545,0.054545,0.054545,5.0,6.0,-0.0,1.2235,0.086,95.155,4.7044,0.995,0.0759,3.935,1.9364,0.2333,200,30,60
161,fixed_mean_f=0.45,0.05,0.05,0.05,0.05,0.05,0.5,0.05,0.05,0.05,0.05,0.05,5.0,5.5,0.0,1.2063,0.0819,99.02,4.9459,0.9837,0.0758,3.935,1.8186,0.2217,200,30,60
162,fixed_mean_f=0.50,0.045455,0.045455,0.045455,0.045455,0.045455,0.545455,0.045455,0.045455,0.045455,0.045455,0.045455,5.0,5.0,-0.0,1.182,0.0775,101.79,5.44,0.9878,0.0693,3.67,1.9051,0.2111,200,30,60
163,fixed_mean_f=0.55,0.040909,0.040909,0.040909,0.040909,0.040909,0.590909,0.040909,0.040909,0.040909,0.040909,0.040909,5.0,4.5,-0.0,1.1618,0.0751,105.18,4.8222,0.9754,0.0743,3.28,1.7311,0.1947,200,30,60
164,fixed_mean_f=0.60,0.036364,0.036364,0.036364,0.036364,0.036364,0.636364,0.036364,0.036364,0.036364,0.036364,0.036364,5.0,4.0,0.0,1.1447,0.0697,108.235,4.7468,0.9759,0.072,2.945,1.7456,0.1776,200,30,60
165,fixed_mean_f=0.65,0.031818,0.031818,0.031818,0.031818,0.031818,0.681818,0.031818,0.031818,0.031818,0.031818,0.031818,5.0,3.5,-0.0,1.129,0.0667,111.735,4.7569,0.9781,0.0621,2.72,1.5761,0.1571,200,30,60
166,fixed_mean_f=0.70,0.027273,0.027273,0.027273,0.027273,0.027273,0.727273,0.027273,0.027273,0.027273,0.027273,0.027273,5.0,3.0,-0.0,1.1073,0.0588,114.885,4.4101,0.9755,0.0637,2.27,1.3137,0.1463,200,30,60
167,fixed_mean_f=0.75,0.022727,0.022727,0.022727,0.022727,0.022727,0.772727,0.022727,0.022727,0.022727,0.022727,0.022727,5.0,2.5,-0.0,1.0868,0.0518,119.13,4.7904,0.9685,0.0558,2.105,1.3239,0.1223,200,30,60
168,fixed_mean_f=0.80,0.018182,0.018182,0.018182,0.018182,0.018182,0.818182,0.018182,0.018182,0.018182,0.018182,0.018182,5.0,2.0,-0.0,1.0718,0.0496,122.17,3.9138,0.9708,0.0521,1.685,1.1456,0.1093,200,30,60
169,fixed_mean_f=0.85,0.013636,0.013636,0.013636,0.013636,0.013636,0.863636,0.013636,0.013636,0.013636,0.013636,0.013636,5.0,1.5,-0.0,1.0458,0.0421,126.145,4.0417,0.9624,0.0448,1.155,1.008,0.0869,200,30,60
170,fixed_mean_f=0.90,0.009091,0.009091,0.009091,0.009091,0.009091,0.909091,0.009091,0.009091,0.009091,0.009091,0.009091,5.0,1.0,-0.0,1.0328,0.0345,130.43,2.9832,0.9627,0.0359,0.89,0.9177,0.068,200,30,60
171,fixed_mean_f=0.95,0.004545,0.004545,0.004545,0.004545,0.004545,0.954545,0.004545,0.004545,0.004545,0.004545,0.004545,5.0,0.5,-0.0,1.0097,0.0176,134.415,2.4644,0.964,0.0179,0.275,0.4905,0.0417,200,30,60
172,random_000_a=0.5,0.086932,0.138346,0.000958,0.081669,0.001774,0.014857,0.048456,0.033621,0.115192,0.080481,0.397712,6.6157,14.5635,-0.6643,1.3922,0.1292,95.755,8.17,1.0018,0.0889,6.17,2.6696,0.2974,200,30,60
173,random_001_a=0.5,0.208331,0.006031,0.177145,0.026895,0.055857,0.004276,0.013044,0.048414,0.144737,0.277234,0.038036,5.1363,13.9399,-0.1994,1.5172,0.1548,50.375,5.9271,1.0198,0.0861,7.625,3.4691,0.6178,200,30,60
174,random_002_a=0.5,0.138422,0.22477,0.152884,0.055148,0.005118,0.130277,0.085049,0.11302,0.083006,0.000249,0.012058,3.4561,7.8646,0.3898,1.4365,0.1349,33.85,3.7049,1.0187,0.0754,6.7,3.0175,0.4408,200,30,60
175,random_003_a=0.5,0.309875,0.00085,0.021544,0.078537,0.122196,0.247191,0.000129,0.157627,0.006501,0.005798,0.049752,3.7102,8.7527,0.1514,1.5967,0.1985,28.14,4.9965,1.0319,0.083,8.73,4.0284,0.8371,200,30,60
176,random_004_a=0.5,0.021372,0.003274,0.428182,0.016618,0.193678,0.047471,0.002184,0.022007,0.007346,0.175457,0.082413,4.5507,9.5226,0.6828,1.2047,0.0688,75.25,3.5056,1.0008,0.0641,3.825,1.789,0.0908,200,30,60
177,random_005_a=0.5,0.000986,0.00024,0.01505,0.001479,0.004025,0.047895,0.421271,0.116247,0.032759,0.329037,0.03101,7.1652,2.7067,-0.2522,1.034,0.032,184.35,4.1983,0.9647,0.0374,0.93,0.8595,0.0098,200,30,60
178,random_006_a=0.5,0.031606,0.304179,0.005655,0.003389,0.022738,0.185172,0.003337,0.015237,0.089547,0.310224,0.028915,5.2667,12.2298,-0.1733,1.4057,0.1211,67.06,5.9661,1.0152,0.0874,6.035,2.517,0.0998,200,30,60
179,random_007_a=0.5,0.013827,0.010704,0.004427,0.030929,0.25966,0.044046,0.130187,0.115333,0.384585,0.002462,0.003839,6.0969,3.9251,-0.669,1.0982,0.059,142.08,4.5835,0.9691,0.0607,2.18,1.3664,0.0803,200,30,60
180,random_008_a=0.5,0.080472,0.008323,0.176517,4.2e-05,0.003748,0.003202,0.120021,0.008609,0.131829,0.003705,0.463533,6.8962,13.1306,-0.7345,1.3163,0.1096,113.185,8.8489,1.0004,0.0795,5.21,2.426,0.2972,200,30,60
181,random_009_a=0.5,0.019171,0.10285,0.017368,0.000131,0.091077,0.004169,0.479526,0.046239,6.7e-05,0.227945,0.011456,5.8906,6.1783,-0.6434,1.1852,0.0741,120.305,6.5832,0.9841,0.0688,3.445,1.7614,0.0806,200,30,60
182,random_010_a=0.5,0.080262,0.079311,0.029315,0.097128,0.043135,0.011727,0.209953,0.000928,0.004474,0.020164,0.423603,6.38,13.2332,-0.4062,1.3422,0.1124,99.55,6.92,1.0014,0.084,5.81,2.6588,0.2905,200,30,60
183,random_011_a=0.5,0.03471,0.005711,0.001314,0.154461,0.066343,0.108998,0.523537,0.014105,0.02663,0.059767,0.004426,5.3172,3.441,-0.5663,1.1185,0.0607,120.24,5.1823,0.9768,0.0579,2.61,1.4692,0.1781,200,30,60
184,random_012_a=0.5,0.00064,0.00233,0.412164,0.220088,0.105757,0.004294,0.062774,0.050806,0.104473,0.004634,0.032039,3.8616,5.5343,1.1324,1.1128,0.048,75.505,2.3956,0.9682,0.0703,2.34,1.1406,0.0046,200,30,60
185,random_013_a=0.5,0.015078,0.075366,0.032512,0.040501,0.065396,0.011673,0.005759,0.182394,0.09002,0.43006,0.051241,6.9963,7.8252,-1.1407,1.1963,0.0816,144.49,7.6644,0.982,0.0738,3.645,1.7186,0.0646,200,30,60
186,random_014_a=0.5,0.28959,0.020772,0.002923,0.009493,0.108182,0.088552,0.295857,0.12081,0.004638,0.002489,0.056695,4.1778,9.3467,-0.1942,1.5412,0.1701,37.455,5.3705,1.0242,0.0813,7.88,3.4079,0.796,200,30,60
187,random_015_a=0.5,0.071701,0.239381,0.010421,0.014078,0.00311,0.027304,0.092846,0.332855,0.032719,0.173469,0.002117,5.1826,10.2896,-0.4641,1.4028,0.1355,69.485,6.3618,1.0091,0.0774,6.185,2.8726,0.2327,200,30,60
188,random_016_a=0.5,0.029221,0.01235,0.280124,0.001731,0.159105,0.008211,0.115491,0.262222,0.000185,0.000378,0.130981,5.0985,8.0522,0.1775,1.2333,0.0823,90.725,5.0085,0.9968,0.0764,4.205,1.9653,0.1194,200,30,60
189,random_017_a=0.5,0.174039,0.132707,0.114662,0.162658,0.005856,0.036615,0.060874,0.003465,0.00536,0.085764,0.218001,4.4408,14.7952,0.4097,1.4908,0.1437,37.065,4.238,1.0249,0.0883,6.885,2.9877,0.5225,200,30,60
190,random_018_a=0.5,0.013934,0.015659,0.097753,0.202063,0.009792,0.042214,0.265018,0.120167,0.008359,0.043161,0.181881,5.773,7.7577,0.0689,1.1847,0.0672,115.27,4.7476,0.9852,0.0758,3.435,1.5157,0.0671,200,30,60
191,random_019_a=0.5,0.044068,0.012307,0.045489,0.013224,0.08458,0.118541,0.025983,0.079101,0.10817,0.06836,0.400177,7.266,9.125,-0.849,1.2048,0.0819,147.555,8.1065,0.99,0.0688,3.76,1.8546,0.1953,200,30,60
192,random_020_a=0.5,0.047967,0.173483,0.213114,0.002538,0.218927,0.01489,0.005659,0.201066,0.026205,0.07097,0.025181,4.0991,8.1212,0.4148,1.322,0.0932,57.395,4.1224,1.0014,0.0795,5.075,2.2371,0.1784,200,30,60
