dist_id,dist_label,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,dist_mean,dist_var,dist_skew,mean_tortuosity,std_tortuosity,mean_resistance,std_resistance,mean_fractal_dim,std_fractal_dim,mean_lateral_dev,std_lateral_dev,mean_zero_cost_ratio,n_runs,grid_H,grid_W,family,dijk_mean_resistance,dijk_std_resistance,dijk_mean_tortuosity,dijk_std_tortuosity,dijk_mean_lateral,greedy_mean_resistance,greedy_std_resistance,greedy_mean_tortuosity,greedy_std_tortuosity,greedy_mean_lateral,tau_gap,res_gap,efficiency
130,low_res_p0=0.750,0.75,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.375,7.7344,1.9117,1.1053,0.0227,0.0,0.0,0.9623,0.0531,2.93,1.201,1.0,200,50,100,low_resistance,0.0,0.0,1.0827,0.022477459396126675,2.895,7.395,6.500017394642361,1.2451,0.09089167443947803,8.375,0.1624000000000001,7.395,0.0
116,low_res_p0=0.050,0.05,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,5.225,9.2744,-0.0229,1.3129,0.0884,146.85,6.6633,0.9828,0.0663,7.225,3.2212,0.1873,200,50,100,low_resistance,146.17,6.62347735417783,1.2956999999999999,0.08551064466929713,7.33,278.72,41.600898714683396,1.7969,0.23545185896366852,12.565,0.5012000000000001,132.55000000000004,0.5244331228473018
123,low_res_p0=0.400,0.4,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,3.3,12.21,0.5786,1.8802,0.242,10.125,2.6918,1.0387,0.0584,17.225,7.7007,0.9236,200,50,100,low_resistance,10.22,2.6545873824107336,1.9006,0.259003967684632,17.7,82.21,25.52633677883949,1.6569999999999998,0.2952062561470229,12.3,-0.24360000000000026,71.99,0.12431577666950494
120,low_res_p0=0.250,0.25,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,4.125,11.8594,0.243,1.6457,0.151,53.385,5.4225,1.028,0.0576,12.455,5.2455,0.698,200,50,100,low_resistance,53.61,5.3432811330054175,1.5914,0.14889219060149045,11.74,152.515,35.05200407893604,1.7661000000000002,0.33321457013273553,13.45,0.1747000000000003,98.90499999999999,0.3515064092056519
126,low_res_p0=0.550,0.55,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,2.475,11.1994,1.0088,1.4027,0.0754,0.0,0.0,0.9997,0.0629,8.715,3.4675,1.0,200,50,100,low_resistance,0.0,0.0,1.3775,0.08621435247604843,8.725,36.165,15.183890398649188,1.5116,0.14848460658249998,11.82,0.1341000000000001,36.165,0.0
118,low_res_p0=0.150,0.15,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,4.675,10.8694,0.07,1.4696,0.1149,95.92,6.6366,0.9974,0.0636,9.93,3.9653,0.4723,200,50,100,low_resistance,96.145,5.743598140363752,1.4539,0.10777227993138143,10.155,209.83,42.86183365092536,1.7879999999999998,0.33251893813902617,13.03,0.33409999999999984,113.68500000000002,0.45820426059190766
135,exponential_lam=-0.80,0.550754,0.24747,0.111195,0.049963,0.02245,0.010087,0.004533,0.002037,0.000915,0.000411,0.000185,0.8143,1.4635,2.0893,1.3963,0.0729,0.0,0.0,0.9976,0.0578,8.595,3.2641,1.0,200,50,100,exponential,0.0,0.0,1.3812,0.06339284870024106,8.78,19.67,4.435025054741056,1.1769,0.06683355158968024,5.28,-0.20429999999999993,19.67,0.0
136,exponential_lam=-0.70,0.503643,0.250102,0.124197,0.061674,0.030627,0.015209,0.007552,0.00375,0.001862,0.000925,0.000459,0.9815,1.9046,1.9864,1.7181,0.3188,0.125,0.3464,1.022,0.0585,15.415,8.6223,0.9984,200,50,100,exponential,0.135,0.3707591017868462,1.6880000000000002,0.277120875972016,16.125,23.015,5.555094090270551,1.2205000000000001,0.07247075306805677,5.905,-0.4675,22.88,0.005865739734955464
140,exponential_lam=-0.30,0.269107,0.19936,0.147689,0.109411,0.081054,0.060046,0.044483,0.032954,0.024413,0.018085,0.013398,2.437,6.2169,1.1028,1.6019,0.1424,25.96,2.6464,1.0172,0.0578,12.5,5.5583,0.7393,200,50,100,exponential,26.015,2.601656797206784,1.5921999999999996,0.14674751844870929,12.395,72.99,14.68906885131229,1.5273999999999999,0.17618297934549546,10.165,-0.06479999999999975,46.974999999999994,0.35641868749143724
150,exponential_lam=+0.70,0.000459,0.000925,0.001862,0.00375,0.007552,0.015209,0.030627,0.061674,0.124197,0.250102,0.503643,9.0185,1.9046,-1.9864,1.0221,0.0186,411.87,5.2259,0.9457,0.0241,0.99,0.8387,0.003,200,50,100,exponential,412.545,5.117511074535154,1.0030000000000001,0.019309695015925055,1.025,545.99,30.416041456597327,1.3234000000000001,0.0867065750145499,6.555,0.3204,133.445,0.7555907617355629
