dist_id,dist_label,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,dist_mean,dist_var,dist_skew,mean_tortuosity,std_tortuosity,mean_resistance,std_resistance,mean_fractal_dim,std_fractal_dim,mean_lateral_dev,std_lateral_dev,mean_zero_cost_ratio,n_runs,grid_H,grid_W,family,dijk_mean_resistance,dijk_std_resistance,dijk_mean_tortuosity,dijk_std_tortuosity,dijk_mean_lateral,dijk_mean_time_ms,greedy_mean_resistance,greedy_std_resistance,greedy_mean_tortuosity,greedy_std_tortuosity,greedy_mean_lateral,greedy_mean_time_ms,tau_gap,res_gap,efficiency,dijk_time_ms,greedy_time_ms,speedup
103,obstacles_p10=0.400,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.4,6.7,12.21,-0.5786,1.3198,0.0796,196.67,8.9556,0.9835,0.0636,7.55,2.9241,0.2321,200,50,100,obstacles,1684.1333333333334,16.995237428117772,1.3533333333333333,0.04223305521011891,39.733333333333334,10958.727244400263,1983.3333333333333,1187.617041851134,1.1954999999999998,0.7101220971474855,27.866666666666667,7649.993472200974,-0.1578333333333335,299.1999999999998,0.8491428571428572,10958.727244400263,7649.993472200974,1.4325145876558945
100,obstacles_p10=0.250,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.25,5.875,11.8594,-0.243,1.3517,0.086,156.67,7.8996,0.9857,0.0676,7.795,3.431,0.2688,200,50,100,obstacles,1347.1333333333334,10.322421273731322,1.395,0.02997022331772463,39.0,10853.078288864344,1510.8,967.0878376415897,1.118,0.7245436987708688,27.066666666666666,7643.318486132193,-0.2769999999999999,163.66666666666652,0.8916688730032655,10853.078288864344,7643.318486132193,1.4199432234252494
106,obstacles_p10=0.550,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.55,7.525,11.1994,-1.0088,1.255,0.0706,247.2,9.1931,0.9753,0.0551,6.505,2.6731,0.1818,200,50,100,obstacles,2117.0,20.188398365680932,1.2786666666666668,0.03832272109833735,36.86666666666667,10937.700494468058,2812.6666666666665,1020.5214820071625,1.3665,0.4807507150280694,30.933333333333334,7670.883558333541,0.08783333333333321,695.6666666666665,0.7526665086513392,10937.700494468058,7670.883558333541,1.425872314615634
98,obstacles_p10=0.150,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.15,5.325,10.8694,-0.07,1.3707,0.0812,134.635,7.5536,1.0018,0.0583,7.925,3.0996,0.3061,200,50,100,obstacles,1162.2,10.373041983911952,1.4328333333333334,0.045196660222167916,36.733333333333334,11144.813722267281,1710.6,743.68549420149,1.4483333333333335,0.6249333297773985,41.6,7632.67773053376,0.01550000000000007,548.3999999999999,0.6794107330761137,11144.813722267281,7632.67773053376,1.4601446721225468
115,low_res_p0=0.000,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,5.5,8.25,-0.0,1.244,0.0652,174.51,6.1864,0.9703,0.058,6.115,2.6222,0.0,200,50,100,low_resistance,1489.8,13.491796449271366,1.2560000000000002,0.0197484176581315,25.133333333333333,10989.811908333406,2193.5333333333333,718.2304511452999,1.5699999999999998,0.521938351586797,42.6,7646.174238866661,0.3139999999999996,703.7333333333333,0.6791781904385619,10989.811908333406,7646.174238866661,1.4372955108020595
132,low_res_p0=0.850,0.85,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.825,5.0944,2.8008,1.0405,0.0171,0.0,0.0,0.9515,0.0337,1.495,0.6873,1.0,200,50,100,low_resistance,0.0,0.0,1.0684999999999998,0.004309458036856679,9.4,10473.952908332769,13.6,3.5415896350166185,1.1033333333333333,0.18996396901467796,42.8,7697.195630532224,0.034833333333333494,13.6,0.0,10473.952908332769,7697.195630532224,1.3607492145302984
130,low_res_p0=0.750,0.75,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.375,7.7344,1.9117,1.1053,0.0227,0.0,0.0,0.9623,0.0531,2.93,1.201,1.0,200,50,100,low_resistance,0.0,0.0,1.1408333333333334,0.003971625551812459,14.333333333333334,10762.713816668838,62.13333333333333,15.656430293135454,1.2331666666666665,0.19747844969828504,59.46666666666667,7722.214658333299,0.09233333333333316,62.13333333333333,0.0,10762.713816668838,7722.214658333299,1.3937340896182464
116,low_res_p0=0.050,0.05,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,5.225,9.2744,-0.0229,1.3129,0.0884,146.85,6.6633,0.9828,0.0663,7.225,3.2212,0.1873,200,50,100,low_resistance,1256.5333333333333,13.092346000985607,1.3571666666666669,0.02831371870077591,31.866666666666667,11208.285416666573,1973.6666666666667,664.4109815324791,1.6290000000000002,0.5420124537314618,44.0,7674.254269467201,0.27183333333333337,717.1333333333334,0.6366492146596858,11208.285416666573,7674.254269467201,1.4605048286267857
123,low_res_p0=0.400,0.4,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,3.3,12.21,0.5786,1.8802,0.242,10.125,2.6918,1.0387,0.0584,17.225,7.7007,0.9236,200,50,100,low_resistance,94.86666666666666,5.194319241339753,2.1251666666666664,0.13539448536283397,86.4,11758.183050000418,635.4666666666667,93.81125935063648,1.6676666666666666,0.2306386061930367,53.4,7717.8436416666955,-0.4574999999999998,540.6,0.14928661351237935,11758.183050000418,7717.8436416666955,1.5235062532908734
120,low_res_p0=0.250,0.25,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,4.125,11.8594,0.243,1.6457,0.151,53.385,5.4225,1.028,0.0576,12.455,5.2455,0.698,200,50,100,low_resistance,468.4,8.958635100122276,1.7313333333333334,0.058430870836114264,64.0,11518.753966665827,1125.5333333333333,366.50781840553003,1.6598333333333335,0.5402111580096206,59.4,7685.737333330326,-0.0714999999999999,657.1333333333333,0.4161582657110703,11518.753966665827,7685.737333330326,1.4987181407713561
126,low_res_p0=0.550,0.55,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,2.475,11.1994,1.0088,1.4027,0.0754,0.0,0.0,0.9997,0.0629,8.715,3.4675,1.0,200,50,100,low_resistance,0.0,0.0,1.496,0.016278820596099693,46.86666666666667,11074.368769399976,278.53333333333336,71.14057177434655,1.4603333333333335,0.32331688716151147,83.46666666666667,7728.740680532064,-0.03566666666666651,278.53333333333336,0.0,11074.368769399976,7728.740680532064,1.4328814003677492
118,low_res_p0=0.150,0.15,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,4.675,10.8694,0.07,1.4696,0.1149,95.92,6.6366,0.9974,0.0636,9.93,3.9653,0.4723,200,50,100,low_resistance,828.2,11.929555134802206,1.5289999999999997,0.044378646731443774,39.266666666666666,11342.199525000373,1588.2,476.8823155214951,1.7158333333333333,0.5079305586209126,42.666666666666664,7692.346430531083,0.18683333333333363,760.0,0.5214708475003148,11342.199525000373,7692.346430531083,1.4744785128219067
135,exponential_lam=-0.80,0.550754,0.24747,0.111195,0.049963,0.02245,0.010087,0.004533,0.002037,0.000915,0.000411,0.000185,0.8143,1.4635,2.0893,1.3963,0.0729,0.0,0.0,0.9976,0.0578,8.595,3.2641,1.0,200,50,100,exponential,0.0,0.0,1.496,0.01641536736458507,46.333333333333336,10946.299161133356,156.8,8.603985787329696,1.2125,0.022480149974080293,37.86666666666667,7665.954558334003,-0.2835000000000001,156.8,0.0,10946.299161133356,7665.954558334003,1.4279107810824607
136,exponential_lam=-0.70,0.503643,0.250102,0.124197,0.061674,0.030627,0.015209,0.007552,0.00375,0.001862,0.000925,0.000459,0.9815,1.9046,1.9864,1.7181,0.3188,0.125,0.3464,1.022,0.0585,15.415,8.6223,0.9984,200,50,100,exponential,0.0,0.0,1.9796666666666667,0.1692363801933626,73.46666666666667,9626.389736135025,190.13333333333333,8.919214144328016,1.2438333333333336,0.034832080177959655,40.8,7749.842141669555,-0.7358333333333331,190.13333333333333,0.0,9626.389736135025,7749.842141669555,1.2421401055868737
