run,total_resistance,path_length,tortuosity,max_lateral_deviation,net_drift,avg_dev_from_start,fractal_dimension,zero_cost_ratio
233,122,71,1.42,12,11,5.972,0.9852,0.3571
234,128,70,1.4,6,-2,3.014,1.1146,0.3043
235,128,68,1.36,5,-2,2.926,1.097,0.3134
236,123,68,1.36,8,-6,2.0,0.971,0.209
237,127,74,1.48,14,8,3.892,1.0666,0.4247
238,132,72,1.44,11,-6,2.972,0.9918,0.3803
239,99,65,1.3,8,-7,2.138,1.016,0.375
240,136,69,1.38,13,11,5.377,0.8725,0.3235
241,131,70,1.4,9,6,2.843,1.0481,0.3333
242,119,71,1.42,6,-1,1.197,1.0494,0.3571
243,116,65,1.3,7,3,3.446,0.9432,0.3281
244,124,60,1.2,4,-2,0.75,1.0165,0.3051
245,126,74,1.48,11,6,7.541,0.958,0.3014
246,125,67,1.34,10,9,3.612,1.0246,0.2879
247,126,72,1.44,10,-2,3.681,0.9466,0.3099
248,125,68,1.36,9,-4,2.118,1.0307,0.3134
249,123,67,1.34,11,-7,5.97,1.0286,0.3182
250,121,72,1.44,6,-6,3.944,1.0349,0.3099
251,128,66,1.32,4,4,1.288,1.0849,0.2615
252,124,66,1.32,8,-4,2.409,1.0178,0.3077
253,123,62,1.24,8,-8,2.952,0.991,0.2951
254,114,60,1.2,6,6,2.0,0.9118,0.3898
255,117,69,1.38,8,5,2.942,0.986,0.3529
256,118,71,1.42,15,11,8.211,0.9483,0.4
257,126,65,1.3,7,-5,1.785,0.9056,0.3906
258,126,67,1.34,9,-3,4.194,0.9733,0.3485
259,110,61,1.22,5,-3,0.869,1.0271,0.35
260,121,69,1.38,9,1,4.0,0.9733,0.3382
261,117,65,1.3,5,-3,1.831,0.9727,0.3125
262,121,69,1.38,12,-11,6.188,0.8865,0.3676
263,123,66,1.32,8,-4,2.667,1.0133,0.3846
264,118,65,1.3,6,5,1.692,0.965,0.25
265,125,61,1.22,5,1,1.443,0.9189,0.2833
266,125,62,1.24,5,-2,1.677,0.9863,0.3607
267,111,65,1.3,6,1,1.631,0.9738,0.3125
268,132,66,1.32,12,10,6.167,0.9623,0.2462
269,111,69,1.38,10,-7,4.58,1.0419,0.3235
270,132,67,1.34,8,7,1.94,1.0281,0.3182
271,135,76,1.52,20,20,11.158,1.016,0.3067
272,113,70,1.4,8,-6,3.557,1.0517,0.3623
273,131,75,1.5,9,1,4.507,1.0136,0.2703
274,123,69,1.38,11,-9,5.667,1.0133,0.2941
275,116,71,1.42,8,3,1.817,0.9358,0.4143
276,123,65,1.3,5,3,1.246,1.0067,0.4531
277,132,68,1.36,8,6,2.515,1.0262,0.2687
278,121,74,1.48,8,2,1.986,0.9589,0.3151
279,125,68,1.36,6,0,1.132,1.0978,0.2985
280,120,65,1.3,7,5,1.754,0.9557,0.2812
281,118,68,1.36,7,2,1.588,1.0455,0.3433
282,130,63,1.26,10,7,2.127,0.8833,0.2097
283,138,63,1.26,13,13,6.302,0.9376,0.2419
284,125,64,1.28,4,0,2.031,1.0629,0.3016
285,123,75,1.5,15,13,5.28,1.0347,0.3649
286,125,75,1.5,8,-3,2.213,1.0574,0.3243
287,121,64,1.28,5,4,2.797,1.0147,0.2857
288,134,68,1.36,9,6,2.309,0.9583,0.3134
289,126,66,1.32,8,-4,2.197,1.0178,0.3538
290,113,64,1.28,8,6,2.484,1.0,0.3492
291,116,71,1.42,9,1,4.408,1.0137,0.3286
292,127,73,1.46,5,-1,2.233,0.9686,0.2778
293,117,66,1.32,7,0,3.485,0.958,0.3231
294,132,64,1.28,7,4,2.422,0.9954,0.2222
295,141,64,1.28,11,-10,3.641,1.0,0.3333
296,117,76,1.52,8,-4,1.947,0.9666,0.3867
297,121,74,1.48,10,-6,3.149,1.0554,0.3562
298,125,69,1.38,5,-1,2.725,0.9816,0.3235
299,131,70,1.4,7,-4,2.3,1.092,0.2899
300,124,68,1.36,8,6,1.721,0.971,0.3433
301,128,70,1.4,9,-6,2.343,0.9961,0.3478
302,132,74,1.48,8,-2,2.405,1.0119,0.274
303,118,72,1.44,9,4,2.889,1.0358,0.3803
304,119,62,1.24,5,2,1.581,0.9775,0.3279
305,126,66,1.32,7,-2,3.288,0.9668,0.2923
306,129,66,1.32,6,2,3.258,0.9453,0.3846
307,124,61,1.22,6,3,3.246,1.0421,0.2333
308,123,78,1.56,13,10,6.385,1.0898,0.3117
309,121,63,1.26,7,-5,3.286,0.8884,0.2742
310,125,67,1.34,5,-1,1.612,0.9782,0.4091
311,125,76,1.52,15,12,3.763,0.9329,0.3733
312,128,67,1.34,8,-1,3.299,1.024,0.2576
313,124,66,1.32,6,-4,1.879,0.942,0.3385
314,126,64,1.28,6,2,1.219,1.0,0.2698
315,128,66,1.32,7,4,2.894,1.0326,0.2769
316,112,67,1.34,9,7,2.522,1.0379,0.3788
317,123,65,1.3,4,-3,0.846,0.9557,0.3281
318,131,67,1.34,10,-9,5.179,0.9643,0.3333
319,127,75,1.5,9,7,4.613,1.0177,0.2973
