run,total_resistance,path_length,tortuosity,max_lateral_deviation,net_drift,avg_dev_from_start,fractal_dimension,zero_cost_ratio
873,0,75,1.5,9,1,3.16,1.0255,1.0
874,0,95,1.9,35,35,14.716,1.0046,1.0
875,0,109,2.18,25,21,7.835,1.0988,1.0
876,10,83,1.66,10,-5,2.229,0.9934,0.9878
877,0,76,1.52,13,-8,4.697,0.9481,1.0
878,0,139,2.78,34,-19,16.065,1.0659,1.0
879,0,128,2.56,31,-16,7.594,1.0646,1.0
880,0,104,2.08,21,-16,8.346,1.1284,1.0
881,0,81,1.62,10,9,6.284,0.998,1.0
882,0,104,2.08,11,4,5.087,1.0666,1.0
883,10,83,1.66,15,5,3.867,0.971,0.9878
884,0,92,1.84,23,-22,13.185,0.9816,1.0
885,0,83,1.66,14,5,3.253,1.0197,1.0
886,0,80,1.6,20,-16,4.7,1.0386,1.0
887,0,78,1.56,9,0,2.103,1.0491,1.0
888,10,80,1.6,12,2,2.775,1.0534,0.9873
889,10,82,1.64,14,0,3.659,1.0528,0.9877
890,0,83,1.66,10,-3,2.614,0.9925,1.0
891,0,87,1.74,25,25,10.563,1.0397,1.0
892,0,70,1.4,7,2,3.414,1.043,1.0
893,0,91,1.82,21,21,6.44,1.0622,1.0
894,0,89,1.78,19,-17,10.888,0.9357,1.0
895,0,78,1.56,12,-8,3.385,0.9437,1.0
896,10,68,1.36,10,-4,2.338,0.9712,0.9851
897,0,85,1.7,10,7,1.965,0.9887,1.0
898,0,83,1.66,17,-13,8.651,1.0197,1.0
899,0,73,1.46,9,-3,2.205,0.9947,1.0
900,0,73,1.46,7,1,2.027,0.9443,1.0
901,0,78,1.56,20,20,10.231,0.989,1.0
902,0,83,1.66,14,-9,7.554,1.0085,1.0
903,0,91,1.82,18,1,5.187,1.0245,1.0
904,0,81,1.62,15,3,4.16,0.9641,1.0
905,0,71,1.42,14,-11,4.972,0.9821,1.0
906,0,89,1.78,13,7,2.876,1.0985,1.0
907,0,96,1.92,16,8,3.531,1.0476,1.0
908,0,74,1.48,9,6,3.297,1.0201,1.0
909,10,74,1.48,10,8,2.432,1.051,0.9863
910,0,86,1.72,12,-4,3.558,1.0702,1.0
911,0,82,1.64,11,0,5.22,1.0144,1.0
912,0,77,1.54,14,11,5.961,1.0613,1.0
913,10,86,1.72,15,-10,7.384,0.99,0.9882
914,0,85,1.7,15,11,5.988,1.045,1.0
915,0,77,1.54,18,11,8.247,0.969,1.0
916,0,66,1.32,11,8,2.864,0.9541,1.0
917,0,79,1.58,7,-3,1.722,1.1489,1.0
918,10,94,1.88,17,-8,3.787,1.0319,0.9892
919,0,82,1.64,12,10,6.939,1.0107,1.0
920,0,77,1.54,18,-13,3.87,0.9344,1.0
921,0,88,1.76,18,14,10.534,1.0801,1.0
922,0,86,1.72,17,-12,3.988,1.0176,1.0
923,10,86,1.72,17,-10,4.523,1.012,0.9882
924,10,97,1.94,24,15,8.701,1.0207,0.9896
925,0,91,1.82,21,-15,13.637,1.0955,1.0
926,0,70,1.4,5,0,1.057,1.1081,1.0
927,0,91,1.82,13,-3,3.67,1.1151,1.0
928,0,79,1.58,16,-15,9.266,0.9025,1.0
929,0,114,2.28,35,-34,20.333,1.0475,1.0
930,0,75,1.5,13,11,6.933,1.0386,1.0
931,0,71,1.42,7,-3,1.324,0.9525,1.0
932,0,71,1.42,8,-5,1.352,0.9852,1.0
933,0,81,1.62,11,9,4.21,1.1135,1.0
934,0,88,1.76,16,16,7.159,1.0544,1.0
935,10,97,1.94,32,-25,10.732,1.0577,0.9896
936,0,76,1.52,13,-8,3.513,0.99,1.0
937,0,97,1.94,29,27,18.68,1.0773,1.0
938,0,81,1.62,13,11,5.84,1.0015,1.0
939,0,76,1.52,19,16,6.974,0.9259,1.0
940,0,81,1.62,12,-7,5.235,1.0985,1.0
941,0,93,1.86,15,-9,3.366,1.0172,1.0
942,0,101,2.02,19,-13,8.307,0.9961,1.0
943,0,83,1.66,16,-9,4.711,0.9609,1.0
944,0,76,1.52,10,6,5.276,0.9778,1.0
945,0,75,1.5,7,3,1.893,0.9684,1.0
946,0,91,1.82,19,-13,7.077,0.9422,1.0
947,0,100,2.0,20,-12,7.73,0.9863,1.0
948,0,73,1.46,9,-7,3.836,1.0652,1.0
949,0,109,2.18,18,7,3.982,1.0284,1.0
950,0,96,1.92,20,12,9.115,1.0982,1.0
951,0,66,1.32,7,-2,3.015,0.9623,1.0
952,0,76,1.52,16,8,6.263,0.974,1.0
953,0,89,1.78,14,-3,3.258,0.9804,1.0
954,0,82,1.64,11,-4,3.902,0.9804,1.0
955,0,80,1.6,7,2,2.75,0.9481,1.0
956,0,77,1.54,23,-21,9.831,0.9835,1.0
957,0,81,1.62,9,1,1.802,1.0545,1.0
958,0,74,1.48,6,-2,2.432,0.9624,1.0
959,0,90,1.8,21,18,10.144,1.0164,1.0
960,0,76,1.52,14,-10,8.053,0.9818,1.0
961,0,91,1.82,13,-3,3.934,0.9768,1.0
962,0,90,1.8,19,-18,10.189,0.9174,1.0
963,0,104,2.08,23,-14,14.0,1.0753,1.0
964,0,79,1.58,9,3,2.241,0.9878,1.0
965,0,70,1.4,4,0,1.229,0.9505,1.0
966,0,88,1.76,12,0,5.489,1.0446,1.0
967,0,78,1.56,14,6,5.667,1.0346,1.0
968,0,100,2.0,33,22,10.59,1.0674,1.0
969,0,105,2.1,22,3,6.829,1.0584,1.0
970,0,84,1.68,17,-10,9.012,1.0667,1.0
971,0,78,1.56,13,12,7.269,0.989,1.0
972,0,77,1.54,5,-1,1.403,1.1576,1.0
973,0,80,1.6,15,12,4.575,1.0419,1.0
974,0,93,1.86,26,19,13.28,1.0178,1.0
975,0,82,1.64,22,-22,12.451,0.9768,1.0
976,10,86,1.72,13,4,4.651,1.0313,0.9882
977,0,95,1.9,9,1,2.853,1.0075,1.0
978,0,84,1.68,13,-4,3.369,0.9329,1.0
979,0,83,1.66,9,-5,1.735,0.9993,1.0
980,0,68,1.36,3,-2,1.397,1.0535,1.0
981,0,95,1.9,14,9,5.811,1.0147,1.0
982,0,72,1.44,6,0,1.75,0.9361,1.0
983,0,96,1.92,14,-10,4.906,1.0789,1.0
984,10,90,1.8,18,-10,5.056,1.1144,0.9888
985,0,85,1.7,14,5,7.153,0.9815,1.0
986,0,86,1.72,14,14,6.442,0.9968,1.0
987,0,86,1.72,17,12,6.36,0.945,1.0
988,0,93,1.86,16,-5,3.86,0.9801,1.0
989,10,81,1.62,10,-5,3.494,0.9606,0.9875
990,0,82,1.64,11,8,2.122,1.0489,1.0
991,0,100,2.0,18,6,7.77,1.0177,1.0
992,10,89,1.78,23,-21,11.831,1.1017,0.9886
993,10,86,1.72,20,8,11.535,0.9867,0.9882
994,0,110,2.2,35,26,15.164,0.9241,1.0
995,0,71,1.42,6,-3,1.901,1.0449,1.0
996,0,80,1.6,7,0,1.475,0.9739,1.0
997,0,93,1.86,14,-1,6.032,1.0209,1.0
998,0,86,1.72,14,14,7.105,1.1353,1.0
999,0,74,1.48,10,-8,2.486,1.067,1.0
1000,0,86,1.72,10,-6,4.512,0.9839,1.0
