run,total_resistance,path_length,tortuosity,max_lateral_deviation,net_drift,avg_dev_from_start,fractal_dimension,zero_cost_ratio
191,435,52,1.04,2,2,1.462,0.9572,0.0588
192,424,54,1.08,4,-4,1.963,0.979,0.0943
193,425,51,1.02,1,1,0.255,0.9488,0.02
194,431,54,1.08,3,2,0.537,0.9158,0.0377
195,419,52,1.04,2,-2,1.442,0.9679,0.0392
196,430,52,1.04,2,-2,0.596,0.8994,0.0392
197,431,51,1.02,1,1,0.196,0.9595,0.02
198,432,52,1.04,1,0,0.308,0.9734,0.0196
199,433,51,1.02,1,-1,0.588,0.891,0.02
200,430,52,1.04,2,-2,1.019,0.9572,0.0588
201,429,53,1.06,2,1,1.17,0.9762,0.0577
202,422,55,1.1,3,3,1.818,0.9922,0.037
203,430,51,1.02,1,1,0.255,0.9539,0.04
204,429,53,1.06,3,3,0.83,0.9131,0.0577
205,426,53,1.06,2,-1,0.396,0.9816,0.0577
206,426,51,1.02,1,1,0.51,0.9488,0.06
207,431,52,1.04,1,0,0.423,0.9623,0.0
208,427,52,1.04,1,0,0.635,0.844,0.0392
209,429,53,1.06,3,3,1.774,0.9655,0.0385
210,432,55,1.1,3,-1,0.673,0.9815,0.0185
211,433,54,1.08,4,-4,1.426,0.979,0.0566
212,431,50,1.0,0,0,0.0,0.9453,0.0204
213,439,51,1.02,1,-1,0.804,0.9539,0.06
214,422,53,1.06,2,1,1.132,0.9762,0.0385
215,436,52,1.04,2,-2,1.481,0.9679,0.0588
216,436,52,1.04,1,0,0.154,0.9623,0.0196
217,432,51,1.02,1,-1,0.373,0.9595,0.0
218,438,51,1.02,1,-1,0.549,0.9595,0.04
219,435,51,1.02,1,1,0.765,0.9595,0.04
220,435,52,1.04,2,2,1.615,0.9679,0.0588
221,418,52,1.04,2,-2,1.577,0.9679,0.0196
222,427,53,1.06,3,3,1.472,0.9709,0.0962
223,436,52,1.04,2,-2,0.577,0.9572,0.0588
224,429,51,1.02,1,1,0.588,0.9595,0.04
225,425,52,1.04,2,-2,0.865,0.9679,0.0392
226,421,54,1.08,4,-4,1.963,0.9212,0.0
227,435,51,1.02,1,1,0.745,0.9488,0.04
228,426,52,1.04,2,2,1.038,0.9572,0.0
229,433,52,1.04,2,-2,0.846,0.9572,0.0784
230,435,51,1.02,1,-1,0.686,0.9595,0.02
231,433,52,1.04,1,0,0.538,0.9623,0.0392
232,416,52,1.04,1,0,0.192,0.9623,0.0588
233,437,55,1.1,5,5,1.891,0.9292,0.0556
234,437,52,1.04,1,0,0.212,0.9623,0.0196
235,435,50,1.0,0,0,0.0,0.9453,0.0204
236,417,54,1.08,4,4,2.296,0.979,0.0566
237,427,52,1.04,2,-2,0.942,0.9572,0.0196
238,405,51,1.02,1,-1,0.353,0.9539,0.06
239,430,50,1.0,0,0,0.0,0.9453,0.0
240,434,52,1.04,2,2,0.404,0.8994,0.0392
241,437,50,1.0,0,0,0.0,0.9453,0.0
242,438,52,1.04,1,0,0.192,0.9623,0.0196
243,429,52,1.04,2,2,0.885,0.8994,0.0196
244,419,53,1.06,2,-1,0.491,0.9655,0.0385
245,422,51,1.02,1,-1,0.412,0.9539,0.1
246,419,52,1.04,2,-2,0.288,0.9572,0.0392
247,429,54,1.08,3,2,0.481,0.9736,0.0566
248,420,52,1.04,1,0,0.25,0.844,0.0392
249,427,53,1.06,2,1,0.547,0.961,0.0962
250,433,52,1.04,2,2,0.827,0.8994,0.0588
251,420,55,1.1,3,-3,2.364,1.0029,0.0926
252,424,57,1.14,3,1,0.456,1.0131,0.0536
253,438,52,1.04,2,2,0.596,0.9679,0.0196
254,423,50,1.0,0,0,0.0,0.9453,0.0204
255,432,53,1.06,3,3,1.585,0.9655,0.0385
256,428,52,1.04,2,-2,1.115,0.8994,0.0196
257,428,50,1.0,0,0,0.0,0.9453,0.0408
258,409,52,1.04,2,-2,0.865,0.9679,0.0784
259,423,54,1.08,4,-4,1.481,0.9212,0.0755
260,423,50,1.0,0,0,0.0,0.9453,0.0408
261,421,52,1.04,1,0,0.192,0.9623,0.0588
262,419,53,1.06,2,-1,0.623,0.9762,0.0385
263,428,50,1.0,0,0,0.0,0.9453,0.0612
264,414,53,1.06,2,-1,0.83,0.9077,0.0577
265,422,51,1.02,1,-1,0.431,0.9595,0.0
266,428,51,1.02,1,-1,0.863,0.891,0.04
267,428,52,1.04,2,2,0.423,0.9679,0.0392
268,418,51,1.02,1,1,0.314,0.9488,0.02
269,431,53,1.06,2,1,1.113,0.9762,0.0577
270,428,53,1.06,2,-1,0.717,0.8522,0.0385
271,434,53,1.06,2,-1,0.755,0.9077,0.0385
272,427,50,1.0,0,0,0.0,0.9453,0.0408
273,425,53,1.06,1,1,0.264,0.9705,0.0192
274,434,50,1.0,0,0,0.0,0.9453,0.0204
275,430,53,1.06,3,3,0.849,0.9655,0.0385
276,439,51,1.02,1,1,0.549,0.9488,0.04
277,430,50,1.0,0,0,0.0,0.9453,0.0
278,424,53,1.06,2,-1,0.849,0.9077,0.0769
279,438,53,1.06,3,-3,0.906,0.9131,0.0577
280,431,50,1.0,0,0,0.0,0.9453,0.0408
281,432,51,1.02,1,-1,0.804,0.9595,0.04
282,421,52,1.04,2,2,1.481,0.9572,0.0392
283,420,53,1.06,2,1,0.962,0.8522,0.0577
284,442,51,1.02,1,1,0.804,0.9539,0.04
285,422,52,1.04,2,-2,1.404,0.8994,0.0588
286,433,50,1.0,0,0,0.0,0.9453,0.0204
287,430,53,1.06,2,1,1.321,0.9762,0.0192
288,431,54,1.08,3,2,0.944,0.9265,0.0377
289,442,52,1.04,2,2,0.827,0.9679,0.0196
290,425,52,1.04,2,-2,1.231,0.9679,0.0588
291,436,52,1.04,1,0,0.462,0.9734,0.0588
292,425,54,1.08,4,4,2.352,0.979,0.0755
293,424,53,1.06,2,-1,1.075,0.961,0.0385
294,428,52,1.04,2,-2,0.731,0.9572,0.0392
295,429,53,1.06,2,-1,0.887,0.961,0.0385
296,420,52,1.04,1,0,0.346,0.844,0.0392
297,437,51,1.02,1,-1,0.706,0.891,0.02
298,425,51,1.02,1,-1,0.706,0.9539,0.04
299,433,51,1.02,1,-1,0.471,0.891,0.02
300,429,52,1.04,1,0,0.692,0.9623,0.1176
301,433,51,1.02,1,-1,0.843,0.9539,0.02
302,417,54,1.08,3,2,1.704,0.9843,0.1321
303,428,53,1.06,2,-1,0.585,0.9077,0.0192
304,420,54,1.08,3,2,1.0,0.9843,0.0755
305,431,53,1.06,3,3,1.509,0.9655,0.0192
306,436,51,1.02,1,1,0.176,0.9595,0.04
307,427,52,1.04,1,0,0.442,0.9734,0.0784
308,430,52,1.04,1,0,0.558,0.9623,0.0588
309,428,50,1.0,0,0,0.0,0.9453,0.0204
310,425,51,1.02,1,1,0.647,0.9539,0.06
311,435,53,1.06,3,-3,1.887,0.9709,0.0385
312,433,50,1.0,0,0,0.0,0.9453,0.0204
313,425,52,1.04,2,2,1.308,0.9679,0.0588
314,415,53,1.06,2,1,1.094,0.8522,0.0962
315,428,53,1.06,2,-1,0.208,0.9032,0.0192
316,434,50,1.0,0,0,0.0,0.9453,0.0204
317,435,51,1.02,1,1,0.412,0.9539,0.02
318,430,53,1.06,1,-1,0.698,0.8025,0.0192
319,424,52,1.04,1,0,0.788,0.9527,0.0392
320,420,51,1.02,1,-1,0.667,0.9595,0.04
321,434,52,1.04,1,0,0.154,0.9623,0.0392
322,430,54,1.08,3,2,1.0,0.9736,0.0755
323,425,52,1.04,2,-2,0.769,0.9572,0.0196
324,428,50,1.0,0,0,0.0,0.9453,0.0204
325,433,52,1.04,2,2,0.442,0.9679,0.0196
326,424,52,1.04,2,2,1.654,0.8994,0.0588
327,425,51,1.02,1,1,0.549,0.9539,0.02
328,423,52,1.04,1,0,0.308,0.9734,0.0392
329,429,54,1.08,3,2,1.63,0.9158,0.0377
330,429,51,1.02,1,1,0.333,0.9539,0.04
331,422,53,1.06,2,-1,1.151,0.9655,0.0192
332,437,50,1.0,0,0,0.0,0.9453,0.0204
333,428,53,1.06,2,-1,1.208,0.9816,0.0577
334,441,53,1.06,3,3,0.906,0.9077,0.0769
335,431,52,1.04,2,2,0.288,0.9679,0.0
336,424,52,1.04,2,-2,0.808,0.8994,0.0588
337,430,52,1.04,2,-2,0.5,0.9679,0.0196
338,425,53,1.06,3,3,1.585,0.9655,0.0577
339,431,50,1.0,0,0,0.0,0.9453,0.0204
340,434,50,1.0,0,0,0.0,0.9453,0.0408
341,411,56,1.12,2,0,0.982,1.0158,0.1273
342,430,51,1.02,1,1,0.039,0.891,0.0
343,433,50,1.0,0,0,0.0,0.9453,0.0204
344,414,52,1.04,2,-2,1.135,0.8994,0.0392
345,428,51,1.02,1,1,0.549,0.9539,0.02
346,408,52,1.04,2,2,0.962,0.9679,0.0392
347,427,52,1.04,2,-2,0.635,0.9679,0.0196
348,422,50,1.0,0,0,0.0,0.9453,0.0408
349,434,51,1.02,1,1,0.137,0.9539,0.04
350,410,53,1.06,3,3,1.585,0.9709,0.0385
351,432,52,1.04,2,2,1.212,0.9679,0.0392
352,426,52,1.04,2,2,0.654,0.9572,0.0784
353,435,50,1.0,0,0,0.0,0.9453,0.0
354,428,53,1.06,3,-3,1.925,0.9762,0.0769
355,433,51,1.02,1,1,0.922,0.9595,0.04
356,434,53,1.06,2,1,0.925,0.9762,0.0577
357,402,52,1.04,1,0,0.365,0.9734,0.0784
358,427,53,1.06,3,-3,2.472,0.9709,0.0192
359,429,51,1.02,1,-1,0.745,0.9539,0.02
360,426,52,1.04,2,-2,1.192,0.9679,0.0392
361,430,51,1.02,1,-1,0.078,0.9488,0.08
362,429,52,1.04,1,0,0.365,0.9734,0.0196
363,421,53,1.06,2,-1,0.566,0.9816,0.0385
364,436,52,1.04,2,2,0.962,0.8994,0.0196
365,434,52,1.04,2,-2,0.75,0.9572,0.0392
366,434,51,1.02,1,1,0.176,0.9539,0.02
367,431,51,1.02,1,1,0.49,0.9488,0.04
368,432,52,1.04,2,2,1.231,0.9572,0.0
369,438,54,1.08,3,2,2.241,0.9843,0.0377
370,437,52,1.04,2,-2,0.673,0.9572,0.0196
371,417,53,1.06,1,-1,0.547,0.9705,0.0769
372,437,50,1.0,0,0,0.0,0.9453,0.0
373,428,53,1.06,3,-3,1.623,0.9655,0.0385
374,431,53,1.06,3,3,1.094,0.9655,0.0577
375,428,52,1.04,1,0,0.212,0.9527,0.0196
376,432,51,1.02,1,-1,0.137,0.9488,0.06
377,430,51,1.02,1,-1,0.804,0.9539,0.04
378,424,52,1.04,2,2,0.788,0.9572,0.0392
379,434,53,1.06,3,-3,1.226,0.9131,0.0192
380,417,51,1.02,1,1,0.157,0.9539,0.08
381,424,50,1.0,0,0,0.0,0.9453,0.0204
382,419,51,1.02,1,-1,0.176,0.9595,0.08
383,429,50,1.0,0,0,0.0,0.9453,0.0408
384,425,53,1.06,2,1,0.245,0.9816,0.0769
385,423,51,1.02,1,-1,0.706,0.9539,0.04
386,431,51,1.02,1,1,0.157,0.9595,0.04
387,414,52,1.04,1,0,0.385,0.844,0.0392
388,437,51,1.02,1,-1,0.275,0.9539,0.0
389,421,54,1.08,4,4,1.722,0.979,0.0755
390,409,51,1.02,1,1,0.824,0.9595,0.06
391,434,53,1.06,3,3,1.774,0.9655,0.0192
392,428,55,1.1,3,3,1.4,1.0029,0.0741
393,437,53,1.06,2,1,0.396,0.961,0.0385
394,439,53,1.06,3,-3,1.151,0.9762,0.0385
395,423,52,1.04,2,-2,1.135,0.8994,0.0392
396,421,51,1.02,1,-1,0.294,0.9539,0.08
397,420,51,1.02,1,-1,0.51,0.9595,0.02
398,429,52,1.04,2,2,1.038,0.9572,0.0
399,425,51,1.02,1,-1,0.686,0.9595,0.04
400,439,53,1.06,3,3,1.245,0.9131,0.0577
401,426,50,1.0,0,0,0.0,0.9453,0.0204
402,423,55,1.1,3,-1,1.836,0.9976,0.0926
403,432,51,1.02,1,1,0.529,0.9595,0.06
404,430,52,1.04,1,0,0.231,0.9734,0.0392
405,422,53,1.06,1,-1,0.226,0.8025,0.0769
406,418,52,1.04,2,2,1.385,0.9679,0.0196
407,432,50,1.0,0,0,0.0,0.9453,0.0204
408,439,54,1.08,2,0,0.611,0.9897,0.0377
409,402,52,1.04,2,2,1.038,0.9572,0.0392
410,434,50,1.0,0,0,0.0,0.9453,0.0408
411,431,52,1.04,1,0,0.5,0.9734,0.0196
412,422,51,1.02,1,1,0.451,0.9539,0.06
413,422,51,1.02,1,-1,0.902,0.9488,0.04
414,426,57,1.14,7,7,3.702,1.0077,0.0714
415,436,50,1.0,0,0,0.0,0.9453,0.0204
416,423,53,1.06,1,1,0.566,0.9705,0.0962
417,436,55,1.1,4,-3,1.473,0.8735,0.037
418,439,51,1.02,1,1,0.314,0.9595,0.04
419,421,52,1.04,2,2,1.385,0.8994,0.0392
420,426,52,1.04,1,0,0.231,0.9734,0.0588
421,414,51,1.02,1,-1,0.275,0.9539,0.06
422,422,52,1.04,2,-2,1.404,0.9679,0.0
423,433,51,1.02,1,1,0.588,0.9595,0.0
424,433,52,1.04,2,2,1.327,0.8994,0.0784
