p0,p10,tortuosity,resistance
0.3854791591427269,0.6145208408572731,1.83,110
0.34227975262362853,0.6577202473763715,1.64,150
0.25250915222323567,0.7474908477767643,1.84,290
0.27859956759324395,0.721400432406756,1.61,250
0.4018132342736254,0.5981867657263746,2.06,40
0.16472952272995114,0.8352704772700489,1.34,480
0.687346712657539,0.312653287342461,1.15,0
0.45226656001546034,0.5477334399845397,1.94,10
0.31794686796184096,0.6820531320381591,1.46,190
0.7813729476483162,0.21862705235168378,1.09,0
0.5139574124897052,0.48604258751029483,1.81,0
0.5344320247272756,0.4655679752727244,1.51,0
0.38718823791684404,0.6128117620831559,1.66,100
0.6176510225796625,0.38234897742033747,1.22,0
0.3283828588875034,0.6716171411124966,1.54,150
0.3592736135911523,0.6407263864088477,1.68,130
0.7300870055461061,0.26991299445389394,1.14,0
0.25607304777551676,0.7439269522244832,1.77,280
0.20775123345559487,0.7922487665444051,1.49,400
0.7185829613729245,0.28141703862707546,1.15,0
0.6501022131833251,0.34989778681667494,1.2,0
0.6716640800850996,0.3283359199149004,1.19,0
0.24176756142787126,0.7582324385721287,1.43,340
0.7054598080086353,0.2945401919913647,1.17,0
0.14385682030309957,0.8561431796969005,1.36,500
0.2587579672379012,0.7412420327620988,1.52,290
0.8947871022364278,0.10521289776357223,1.02,0
0.4682922314325719,0.5317077685674281,1.85,20
0.49128476465602866,0.5087152353439713,1.63,0
0.5594745088116199,0.44052549118838014,1.47,0
0.16416274322954438,0.8358372567704556,1.47,480
0.8312087936566336,0.16879120634336642,1.03,0
0.6004610525723204,0.3995389474276796,1.29,0
0.6482512540398595,0.3517487459601405,1.24,0
0.13200395073555954,0.8679960492644405,1.31,540
0.3944814137807863,0.6055185862192136,1.84,80
0.8288110712588399,0.1711889287411601,1.05,0
0.2465721137465164,0.7534278862534836,1.58,300
0.5185012020550833,0.4814987979449167,1.56,0
0.533922699169727,0.466077300830273,1.51,0
0.5291934091347792,0.4708065908652208,2.15,0
0.7231533423268933,0.2768466576731067,1.14,0
0.159676826680714,0.840323173319286,1.34,470
0.5917482800281139,0.40825171997188614,1.3,0
0.44205094117780136,0.5579490588221987,2.03,40
0.5979088730660621,0.4020911269339379,1.29,0
0.17405223293476402,0.825947767065236,1.49,440
0.22804163995008706,0.7719583600499129,1.6,350
0.604649203218795,0.395350796781205,1.29,0
0.8718656944493111,0.12813430555068894,1.04,0
0.89013323244909,0.10986676755090996,1.02,0
0.5416045389150539,0.4583954610849461,1.53,0
0.13342847700311708,0.8665715229968829,1.31,530
0.7581119565266721,0.24188804347332793,1.12,0
0.8247970510957687,0.17520294890423127,1.07,0
0.34854712886717265,0.6514528711328273,1.68,120
0.898586497577385,0.10141350242261504,1.01,0
0.8865117401669784,0.11348825983302158,1.02,0
0.7234996850719301,0.2765003149280699,1.13,0
0.725404297783747,0.27459570221625296,1.12,0
0.8611162121362933,0.1388837878637067,1.05,0
0.7448006044041454,0.2551993955958546,1.13,0
0.2804634712441262,0.7195365287558738,1.72,240
0.823275899303684,0.17672410069631606,1.06,0
0.5017477197306736,0.49825228026932644,1.62,0
0.12515681436749312,0.8748431856325068,1.36,540
0.5319990721464066,0.4680009278535934,1.59,0
0.16227396961963905,0.837726030380361,1.42,490
0.646295847175951,0.353704152824049,1.25,0
0.5381199913592608,0.4618800086407392,1.58,0
0.7202210945171712,0.2797789054828288,1.14,0
0.8510210528766807,0.14897894712331927,1.03,0
0.8805685264938274,0.11943147350617256,1.03,0
0.5765606351219253,0.42343936487807465,1.34,0
0.3873367929637652,0.6126632070362348,1.75,80
0.491727052276382,0.508272947723618,1.76,0
0.5201793381506828,0.47982066184931715,1.66,0
0.8117095242628087,0.18829047573719127,1.07,0
0.3143269822958054,0.6856730177041945,1.67,200
0.2663865494681539,0.7336134505318461,1.44,290
0.46853584511258994,0.5314641548874101,2.14,10
0.8250331584969492,0.17496684150305075,1.07,0
0.4441269933759879,0.5558730066240121,2.07,40
0.6429554349454696,0.3570445650545304,1.25,0
0.8017040944338973,0.19829590556610266,1.09,0
0.2890539987184414,0.7109460012815586,1.71,220
0.5714780071844071,0.4285219928155929,1.36,0
0.5947813751689791,0.4052186248310209,1.31,0
0.1674277774995285,0.8325722225004715,1.43,470
0.3257173063712353,0.6742826936287647,1.62,160
0.32656485872022634,0.6734351412797737,1.71,170
0.7631270034434765,0.2368729965565235,1.13,0
0.5673079842805574,0.4326920157194426,1.34,0
0.8992171398958054,0.10078286010419457,1.02,0
0.3549838292545429,0.6450161707454571,1.76,130
0.32540112294893175,0.6745988770510682,1.65,180
0.7950047015681075,0.20499529843189246,1.09,0
0.4011579377370992,0.5988420622629008,1.55,80
0.12225279606070201,0.877747203939298,1.26,570
0.401372117639707,0.5986278823602931,1.75,70
0.10408326835562019,0.8959167316443798,1.29,640
0.2508789086198644,0.7491210913801356,1.48,340
0.7341234636552365,0.2658765363447635,1.15,0
0.5211865477997655,0.4788134522002345,1.5,0
0.311507638816666,0.688492361183334,1.66,180
0.19416060730955842,0.8058393926904416,1.46,420
0.16754614003423765,0.8324538599657624,1.49,480
0.1781782728693666,0.8218217271306334,1.34,420
0.16232409836912423,0.8376759016308758,1.34,460
0.5626585654092706,0.4373414345907294,1.32,0
0.6950132368465232,0.30498676315347684,1.18,0
0.624152835367449,0.37584716463255097,1.28,0
0.40847053289160756,0.5915294671083924,1.75,50
0.3441236888462852,0.6558763111537148,1.64,130
0.49611369922538406,0.5038863007746159,1.73,0
