dist_id,dist_label,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,dist_mean,dist_var,dist_skew,mean_tortuosity,std_tortuosity,mean_resistance,std_resistance,mean_fractal_dim,std_fractal_dim,mean_lateral_dev,std_lateral_dev,mean_zero_cost_ratio,n_runs,grid_H,grid_W
65,uniform_2to8,0.0,0.0,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.0,0.0,5.0,4.0,-0.0,1.1268,0.0472,190.755,4.5385,0.9573,0.0499,3.94,1.7669,0.0,200,50,100
66,uniform_2to9,0.0,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0,5.5,5.25,0.0,1.1361,0.0489,205.44,5.2262,0.9629,0.0513,4.025,1.6638,0.0,200,50,100
67,uniform_2to10,0.0,0.0,0.111111,0.111111,0.111111,0.111111,0.111111,0.111111,0.111111,0.111111,0.111111,6.0,6.6667,0.0,1.1508,0.0468,220.315,6.0364,0.9639,0.0503,4.335,1.9186,0.0,200,50,100
68,uniform_3to4,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.25,0.0,1.0066,0.0108,162.555,1.3476,0.9453,0.0135,0.325,0.5299,0.0,200,50,100
69,uniform_3to5,0.0,0.0,0.0,0.333333,0.333333,0.333333,0.0,0.0,0.0,0.0,0.0,4.0,0.6667,0.0,1.0232,0.0193,179.905,2.0682,0.9473,0.025,1.005,0.8236,0.0,200,50,100
70,uniform_3to6,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,4.5,1.25,0.0,1.0401,0.0244,197.01,2.7289,0.9472,0.0332,1.59,0.973,0.0,200,50,100
71,uniform_3to7,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,5.0,2.0,-0.0,1.0608,0.0278,213.335,3.6136,0.9488,0.0371,2.22,1.0474,0.0,200,50,100
72,uniform_3to8,0.0,0.0,0.0,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.0,0.0,5.5,2.9167,-0.0,1.0694,0.0335,229.655,3.8977,0.9529,0.041,2.48,1.2915,0.0,200,50,100
73,uniform_3to9,0.0,0.0,0.0,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.0,6.0,4.0,0.0,1.0877,0.0397,245.39,5.0463,0.9519,0.044,3.04,1.5687,0.0,200,50,100
74,uniform_3to10,0.0,0.0,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,6.5,5.25,0.0,1.0949,0.0406,260.765,5.6551,0.9575,0.0455,3.115,1.5472,0.0,200,50,100
75,uniform_4to5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,4.5,0.25,0.0,1.0018,0.0057,211.73,1.3881,0.9458,0.0048,0.09,0.2869,0.0,200,50,100
